n.id,name_node_a,n.type,n.category,n.gender,n.age,n.experience
eeca1815ef2efc089f12bfe8c1c4c7f7-c81e728d9d4c2f636f067f89cc14862c,Team3,team,"","",0,null
73cceb4a6d1f1fd7e91d38c2b906be15-c81e728d9d4c2f636f067f89cc14862c,Team2,team,"","",0,null
1ae7f988daa7541df8d9eba692e3949d-c81e728d9d4c2f636f067f89cc14862c,Marcela,person,junior,female,23,3
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,person,senior,male,44,11
e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,person,senior,male,45,16
10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,person,junior,male,25,2
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,person,semi-senior,male,35,3
f9fdac801645d8b673ce785f01658a1e-c81e728d9d4c2f636f067f89cc14862c,Miguel,person,junior,male,24,2
822736b3fe21296f7d5c35a5e13d3ca3-c81e728d9d4c2f636f067f89cc14862c,Luciana,person,semi-senior,female,34,4
a5b6fc8ad5a79c2b57af4137389a7b6b-c81e728d9d4c2f636f067f89cc14862c,Marcelo,person,senior,male,41,12
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,null,null,null,null,null
ff64319904f4832ee19df96250276033-c81e728d9d4c2f636f067f89cc14862c,Inst DB,technologies,null,null,null,null
17fc99d3f691680db18b948f4b9a4547-a87ff679a2f3e71d9181a67b7542122c,AWS Lambda,technologies,null,null,null,null
31985bb925fa449ee8d01350cb2f008d-a87ff679a2f3e71d9181a67b7542122c,AWS Kinesis,technologies,null,null,null,null
e75155594a0fd8405cde512bd9aaedad-a87ff679a2f3e71d9181a67b7542122c,DynamoDB,technologies,null,null,null,null
c75df195acce9063a96459de85bc72b9-a87ff679a2f3e71d9181a67b7542122c,Monta un Cluster Hadoop Big Data desde Cero,technologies,null,null,null,null
f441e44866d2cf1fa1edd368e0723cc8-a87ff679a2f3e71d9181a67b7542122c,cursos,technologies,null,null,null,null
35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,technologies,null,null,null,null
79b60482d282d7fe48287ef484be2d31-a87ff679a2f3e71d9181a67b7542122c,Jonatan,person,senior,male,33,7
6bb28c0af81044a5f2bf023eb7f253e2-a87ff679a2f3e71d9181a67b7542122c,Lucas,person,senior,male,35,6
51280652ee54bf9e25636110b859faf5-a87ff679a2f3e71d9181a67b7542122c,Fernando,person,semi-senior,male,28,4
f6b8790fd8dcb51f4ccec2e19f6db824-a87ff679a2f3e71d9181a67b7542122c,Gastón,person,semi-senior,male,27,3
533348a1f755b9512eb8b91aa07a300a-a87ff679a2f3e71d9181a67b7542122c,Andrea,person,semi-senior,female,27,3
8ebb5bf7f39a9ec7304a17cdf5063df9-a87ff679a2f3e71d9181a67b7542122c,Martin,person,senior,male,34,5
4cd45b1d7210ec9b517bd44c201454ba-a87ff679a2f3e71d9181a67b7542122c,Team1,team,"","",0,null
886f0d10fd11a0fb8f50aa3b4eb4b2ba-a87ff679a2f3e71d9181a67b7542122c,EC2,technologies,null,null,null,null
4631193902bfaa235973c349bce7a3a7-a87ff679a2f3e71d9181a67b7542122c,Kubernetes,technologies,null,null,null,null
dbc99b3e3534c783415b59b687bd3b49-a87ff679a2f3e71d9181a67b7542122c,Redis,technologies,null,null,null,null
74d7bde7ea69ff4f8b8a5130ebd907f2-a87ff679a2f3e71d9181a67b7542122c,HBase,technologies,null,null,null,null
c270de469c4c338f3eade627746305bd-a87ff679a2f3e71d9181a67b7542122c,neo4j,technologies,null,null,null,null
601d9d2120909a0375d14213d2723ab7-a87ff679a2f3e71d9181a67b7542122c,Graph db,technologies,null,null,null,null
13858423f507c2e000f9928b1c241ee2-a87ff679a2f3e71d9181a67b7542122c,Oracle Cloud,technologies,null,null,null,null
c29acc2b51f2b406b6eecea7e2684d14-a87ff679a2f3e71d9181a67b7542122c,Huawei,technologies,null,null,null,null
0d19f40ecc4c80ff14c2c225998be837-a87ff679a2f3e71d9181a67b7542122c,Spark,technologies,null,null,null,null
51ffd7144fcc4ddc688bf08869913f7f-a87ff679a2f3e71d9181a67b7542122c,Vertica,technologies,null,null,null,null
df5ce2c75d1977ddd8ac6494795b5ccf-a87ff679a2f3e71d9181a67b7542122c,Cassandra,technologies,null,null,null,null
241f2fae45ff465b69bf61a2bc718190-a87ff679a2f3e71d9181a67b7542122c,CQL,technologies,null,null,null,null
29129331578124536456224852634a50-a87ff679a2f3e71d9181a67b7542122c,MongoDB,technologies,null,null,null,null
30ee655927b9f44e9e5f30a45e2ae6cb-a87ff679a2f3e71d9181a67b7542122c,Athena,technologies,null,null,null,null
1965cf7c2c626236f163cbe68ace7c74-a87ff679a2f3e71d9181a67b7542122c,RDS,technologies,null,null,null,null
91474e6333f40be57371e3d65e92edca-a87ff679a2f3e71d9181a67b7542122c,Glue,technologies,null,null,null,null
c218987b1ee446bc335063c30f969527-a87ff679a2f3e71d9181a67b7542122c,IAM,technologies,null,null,null,null
d37772bf703931e76d906eaafe580293-a87ff679a2f3e71d9181a67b7542122c,S3,technologies,null,null,null,null
dc20dfd264b9224d2ea12f26955b082f-a87ff679a2f3e71d9181a67b7542122c,EMR,technologies,null,null,null,null
43b6f263edd9539008d17939797e828c-a87ff679a2f3e71d9181a67b7542122c,Golden Gate,technologies,null,null,null,null
9e2c0a7746662a43ed60aacaa834626c-a87ff679a2f3e71d9181a67b7542122c,Cask,technologies,null,null,null,null
b28b76d463b7bd1a2bdf037cec627f04-a87ff679a2f3e71d9181a67b7542122c,Azkaban,technologies,null,null,null,null
e540288494ff8c412c83ad12833fa63e-a87ff679a2f3e71d9181a67b7542122c,Luigi,technologies,null,null,null,null
e1e8ce3faf08dd3c935ef958ab7214bb-a87ff679a2f3e71d9181a67b7542122c,Airflow,technologies,null,null,null,null
9b79bf80b0702b2d21bf0da46b111684-a87ff679a2f3e71d9181a67b7542122c,MS SSIS,technologies,null,null,null,null
7c180a87acb6847b9b584671fc5e30e5-a87ff679a2f3e71d9181a67b7542122c,SQL,technologies,null,null,null,null
c064dffb1a0f1a937b56ee9c0c0a0b9c-a87ff679a2f3e71d9181a67b7542122c,unix,technologies,null,null,null,null
342c8909ccc271dbb9d83e960fd04b00-a87ff679a2f3e71d9181a67b7542122c,windows,technologies,null,null,null,null
deafefd874acdccf7a2c9c1d235ecf62-a87ff679a2f3e71d9181a67b7542122c,SO,technologies,null,null,null,null
52dcc954f0e2235ecd4675e7966ec6ef-a87ff679a2f3e71d9181a67b7542122c,Contenedores,technologies,null,null,null,null
033b8b21e9a6bb06969eaf9e9f5b3abd-a87ff679a2f3e71d9181a67b7542122c,In-memory,technologies,null,null,null,null
3c52acae246e2af61b21a3b6e63c0b49-a87ff679a2f3e71d9181a67b7542122c,NoSQL,technologies,null,null,null,null
a84fbcb117201786a2fdf9f4ca0d72c1-a87ff679a2f3e71d9181a67b7542122c,Data warehouse,technologies,null,null,null,null
fdbea0fad95c6f981f32120701d8f1d3-a87ff679a2f3e71d9181a67b7542122c,MariaDB,technologies,null,null,null,null
0439e66b7eb8e2edb6376514d8ffd883-a87ff679a2f3e71d9181a67b7542122c,PDI,technologies,null,null,null,null
2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,technologies,null,null,null,null
1e242f2a98674de62d26b486d59b4c70-a87ff679a2f3e71d9181a67b7542122c,R,technologies,null,null,null,null
7f85fb3ca43d29a9100c4519e12f2fcd-a87ff679a2f3e71d9181a67b7542122c,scala,technologies,null,null,null,null
202a4729f08cfad5658fb7a6fb4ab47a-a87ff679a2f3e71d9181a67b7542122c,java,technologies,null,null,null,null
bbbe1fbd5a476cc46c35ea4b051c1a36-a87ff679a2f3e71d9181a67b7542122c,phyton,technologies,null,null,null,null
a58efbe1a239da9280f6c0fe19958655-a87ff679a2f3e71d9181a67b7542122c,Google cloud,technologies,null,null,null,null
b77f4a93e3e4fd6820501aed31048308-a87ff679a2f3e71d9181a67b7542122c,Azure,technologies,null,null,null,null
e8173ce541b175489ea47a083af3b629-a87ff679a2f3e71d9181a67b7542122c,AWS,technologies,null,null,null,null
27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,technologies,null,null,null,null
7e978e6cfaa3e6de95722312e007357f-a87ff679a2f3e71d9181a67b7542122c,Hadoop,technologies,null,null,null,null
4b6686dc62b2efb082628b573f476915-a87ff679a2f3e71d9181a67b7542122c,Procesamiento,technologies,null,null,null,null
6bde45527df4be8bbb24be561e65f751-a87ff679a2f3e71d9181a67b7542122c,Data Scientist,skill,"","",0,null
720d1c3fee7aef666abe0c50a9a7cde1-a87ff679a2f3e71d9181a67b7542122c,DBA,skill,"","",0,null
